title,description,url,source,publishedAt
"Blue Origin will ‘move heaven and Earth’ to help NASA reach the Moon faster, CEO says - Ars Technica",“We have some ideas that we think could accelerate the path to the Moon.”…,https://arstechnica.com/space/2025/11/blue-origin-will-move-heaven-and-earth-to-help-nasa-reach-the-moon-faster-ceo-says/,Ars Technica,2025-11-08T21:27:42Z
The team behind Blue Prince puts out a call to get one of the puzzle game's devs a life-saving kidney - Rock Paper Shotgun,"One of the lead playtesters on Blue Prince is in need of a kidney, and the team behind it is asking for your help.",https://www.rockpapershotgun.com/the-team-behind-blue-prince-puts-out-a-call-to-get-one-of-the-puzzle-games-devs-a-life-saving-kidney,Rock Paper Shotgun,2025-11-08T19:55:21Z
Lamborghini Unveils Temerario Super Trofeo - Sportscar365,Lamborghini Temerario Super Trofeo unveiled at Misano World Finals; set for competitive debut in 2027...,https://sportscar365.com/industry/lamborghini-unveils-temerario-super-trofeo/,Sportscar365,2025-11-08T19:02:26Z
BioWare’s Cryptic ‘Mass Effect 5 ‘ Art is Building the Game’s Story - Gizmodo,The studio says everything it's put out for 'Mass Effect 5' thus far will lead to what awaits the next chapter in its sci-fi saga.,https://gizmodo.com/biowares-cryptic-mass-effect-5-art-is-building-the-games-story-2000683272,Gizmodo.com,2025-11-08T17:25:43Z
"Half-Life fans believe they've worked out a possible announcement date for Half-Life 3 - and it's very, very soon - Eurogamer",Fans believe they've uncovered a possible timeframe for when we may finally learn about Half-Life 3.,https://www.eurogamer.net/half-life-fans-believe-theyve-worked-out-a-possible-announcement-date-for-half-life-3-and-its-very-very-soon,Eurogamer.net,2025-11-08T17:07:00Z
"2025–2026 amiibo Lineup and Pre-Orders: Mario Galaxy, Kirby Air Riders, Resident Evil, and More - Nintendo Wire","It’s a great time to be an amiibo fan! Over ten years since their debut, amiibo are still going strong—long after other toys-to-life brands have disappeared.",https://nintendowire.com/news/2025/11/08/2025-2026-amiibo-lineup-and-pre-orders-mario-galaxy-kirby-air-riders-resident-evil-and-more/,Nintendo Wire,2025-11-08T16:38:01Z
"Square Enix Confirms Layoffs, Restructuring in N. American, European Publishing Operations - Anime News Network","Reports state more than 100 workers in U.S., UK could be impacted",https://www.animenewsnetwork.com/news/2025-11-08/square-enix-confirms-layoffs-restructuring-in-n-american-european-publishing-operations/.230748,Anime News Network,2025-11-08T16:15:00Z
Apple helped kill netbooks. Will it bring them back? - The Verge,"Apple helped put an end to netbooks with the iPad, but its rumored cheap MacBook sounds a heck of a lot like a netbook on paper.",https://www.theverge.com/tech/817277/apple-ipad-killed-the-netbook-cheap-macbook-is-bringing-them-back,The Verge,2025-11-08T16:00:00Z
5 Apple CarPlay Widgets You Should Install ASAP - SlashGear,"These five Apple CarPlay widgets — including Calendar, Weather, and Smart Home options — you need to install ASAP to make your driving experience better.",https://www.slashgear.com/2015612/apple-carplay-widgets-install-now/,SlashGear,2025-11-08T15:45:00Z
"Top 7 features in Windows 11’s November 11, 2025, update — AI, Start menu, and more - Windows Central","Microsoft’s November 2025 update for Windows 11 introduces AI-powered file actions, a redesigned Start menu, and smarter widgets — here are the top 7 features to know.",https://www.windowscentral.com/microsoft/windows-11/top-7-features-coming-on-windows-11-with-the-november-2025-update,Windows Central,2025-11-08T15:00:00Z
